Gyroscope tr?c X,Gyroscope tr?c Y,Gyroscope tr?c Z,,Gyroscope tr?c X,Gyroscope tr?c Y,Gyroscope tr?c Z
0.04,0.03,1.01,,0.02,0.02,0.96
0.04,0.02,1.01,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.01,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.03,0.03,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.94
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.94
0.05,0.03,0.99,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.01,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.97
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.01,0.96
0.05,0.03,1,,0.02,0.01,0.96
0.04,0.02,1.01,,0.02,0.02,0.95
0.04,0.03,1.01,,0.01,0.02,0.95
0.05,0.03,1.01,,0.03,0.02,0.95
0.05,0.03,1.01,,0.01,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.03,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.03,0.03,0.95
0.05,0.03,1.01,,0.03,0.02,0.95
0.05,0.02,1.01,,0.01,0.01,0.95
0.04,0.02,1,,0.01,0.01,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.03,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.94
0.05,0.02,1,,0.03,0.01,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.01,0.03,0.96
0.05,0.03,1,,0.02,0.01,0.95
0.04,0.02,1.01,,0.02,0.01,0.94
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.01,0.02,0.96
0.05,0.02,1,,0.03,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.04,0.02,1.02,,0.02,0.01,0.95
0.06,0.02,1.01,,0.03,0.02,0.95
0.04,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.03,0.95
0.05,0.03,1,,0.01,0.02,0.96
0.04,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.01,0.02,0.96
0.05,0.03,1.01,,0.02,0.01,0.94
0.04,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.01,0.94
0.05,0.03,1,,0.02,0.03,0.96
0.05,0.03,1.01,,0.01,0.01,0.95
0.05,0.03,0.99,,0.02,0.03,0.96
0.05,0.03,1.01,,0.01,0.01,0.94
0.05,0.02,1.01,,0.05,0.03,0.95
0.05,0.02,1.01,,0.01,0.01,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1,,0,0.02,0.95
0.05,0.02,1.01,,0.02,0.01,0.96
0.05,0.03,1.01,,0.01,0.02,0.95
0.04,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.96
0.04,0.03,1.01,,0.01,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1,,0.01,0.02,0.96
0.05,0.03,0.99,,0.02,0.02,0.95
0.04,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.94
0.05,0.02,1,,0.03,0.02,0.96
0.05,0.03,1.01,,0.02,0.01,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1,,0.01,0.03,0.95
0.05,0.03,1.01,,0.01,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.01,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.01,0.95
0.05,0.02,1.01,,0.02,0.01,0.96
0.06,0.02,1.01,,0.02,0.02,0.95
0.04,0.03,1.01,,0.01,0.01,0.95
0.05,0.03,1.01,,0.01,0.02,0.96
0.05,0.02,1,,0.02,0.03,0.95
0.05,0.03,1,,0.01,0.02,0.95
0.05,0.03,1,,0.02,0.03,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.94
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.01,0.95
0.05,0.02,1,,0.02,0.03,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.06,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.03,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.04,0.02,1.01,,0.02,0.01,0.95
0.05,0.03,1,,0.03,0.01,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1,,0.01,0.01,0.95
0.04,0.03,1.01,,0.02,0.02,0.94
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.06,0.02,1.01,,0.01,0.02,0.95
0.04,0.02,1,,0.02,0.02,0.96
0.04,0.02,1.02,,0.01,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.94
0.05,0.02,0.99,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1.02,,0.02,0.02,0.96
0.05,0.02,1,,0.01,0.01,0.95
0.05,0.02,1.01,,0.02,0.01,0.96
0.05,0.02,1,,0.02,0.02,0.94
0.05,0.02,1.01,,0.02,0.02,0.94
0.04,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.03,1,,0.01,0.02,0.96
0.05,0.03,1.01,,0.01,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.04,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.03,1.02,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.01,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.04,0.03,1,,0.02,0.02,0.95
0.04,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.06,0.02,1,,0.02,0.02,0.96
0.06,0.02,1,,0.02,0.03,0.97
0.05,0.03,1.01,,0.02,0.03,0.96
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.02,1,,0.01,0.02,0.95
0.05,0.02,1,,0.02,0.01,0.95
0.05,0.02,1,,0.03,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.94
0.05,0.02,1.01,,0.01,0.03,0.96
0.05,0.02,1,,0.01,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.96
0.04,0.02,1,,0.02,0.02,0.95
0.04,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.04,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.06,0.02,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.01,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.04,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.96
0.06,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.01,0.02,0.94
0.06,0.03,1.01,,0.01,0.02,0.94
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.01,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.01,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.03,0.02,0.95
0.06,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.04,0.02,1.01,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1.02,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.01,0.02,0.94
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.94
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.03,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.94
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.01,0.02,0.96
0.05,0.02,1,,0.02,0.01,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.01,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1,,0.01,0.02,0.95
0.06,0.02,1,,0.02,0.02,0.96
0.05,0.03,1,,0.03,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.02,1,,0.01,0.02,0.96
0.05,0.02,1,,0.01,0.01,0.95
0.05,0.02,1.01,,0.01,0.02,0.95
0.05,0.02,0.99,,0.02,0.02,0.95
0.05,0.02,1,,0.01,0.02,0.95
0.05,0.03,1.01,,0.03,0.02,0.95
0.05,0.03,1,,0.02,0.03,0.95
0.05,0.02,1.01,,0.02,0.03,0.95
0.05,0.03,1.01,,0.02,0.01,0.95
0.06,0.04,1.01,,0.02,0.02,0.95
0.06,0.04,1.01,,0.02,0.02,0.95
0.04,0.03,1,,0.02,0.03,0.96
0.04,0.03,1.02,,0.02,0.02,0.95
0.04,0.02,1.01,,0.02,0.02,0.94
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.02,1,,0.01,0.02,0.96
0.06,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.01,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.01,0.96
0.05,0.02,1.02,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,0.99,,0.03,0.02,0.94
0.05,0.02,1,,0.03,0.01,0.95
0.05,0.03,1,,0.02,0.01,0.96
0.04,0.03,1,,0.01,0.03,0.96
0.05,0.02,1.01,,0.03,0.02,0.95
0.05,0.03,1,,0.03,0.02,0.96
0.08,0.05,1.02,,0.01,0.02,0.95
0.09,0.02,0.99,,0.01,0.02,0.95
0.06,0.03,1,,0.03,0.02,0.96
0.04,0.04,1.01,,0.01,0.02,0.94
0.04,0.02,1,,0.02,0.01,0.95
0.05,0.01,1,,0.02,0.02,0.96
0.04,0.03,1,,0.02,0.01,0.96
0.03,0.03,1,,0.01,0.01,0.95
0.05,0.02,1,,0.01,0.02,0.95
0.04,0.03,1.01,,0.02,0.02,0.96
0.05,0.03,1,,0.01,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.96
0.05,0.03,1.01,,0.02,0.02,0.96
0.04,0.02,1,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.04,1,,0.02,0.02,0.96
0.05,0.03,1,,0.01,0.01,0.96
0.03,0.04,1.01,,0.02,0.01,0.95
0.04,0.02,1,,0.02,0.02,0.96
0.04,0.02,1,,0.02,0.02,0.96
0.04,0.02,1.01,,0.02,0.03,0.94
0.03,0.03,1.01,,0.02,0.02,0.95
0.05,0.04,1.01,,0.01,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.03,0.01,0.99,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.96
0.06,0.04,1.01,,0.02,0.02,0.95
0.04,0.02,1.01,,0.01,0.02,0.95
0.04,0.02,1.01,,0.02,0.02,0.95
0.06,0.03,1,,0.01,0.01,0.95
0.05,0.02,0.99,,0.02,0.02,0.96
0.05,0.03,1.02,,0.02,0.01,0.95
0.06,0.02,1,,0.02,0.02,0.96
0.06,0.03,1.01,,0.03,0.01,0.96
0.05,0.03,1,,0.03,0.02,0.94
0.05,0.04,1,,0.02,0.02,0.94
0.04,0.03,1.01,,0.02,0.01,0.95
0.05,0.02,1,,0.02,0.02,0.96
0.04,0.02,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.07,0.03,1,,0.02,0.02,0.95
0.06,0.04,1.01,,0.02,0.02,0.94
0.05,0.03,1.01,,0.01,0.02,0.94
0.04,0.03,1.01,,0.02,0.02,0.95
0.04,0.02,1,,0.02,0.02,0.96
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.01,0.02,0.95
0.04,0.03,1,,0.02,0.02,0.95
0.05,0.01,1,,0.02,0.02,0.95
0.05,0.01,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.02,,0.02,0.02,0.96
0.04,0.02,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.96
0.04,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.94
0.06,0.02,1,,0.02,0.01,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.04,0.02,1.01,,0.02,0.03,0.95
0.04,0.02,1.01,,0.01,0.02,0.96
0.04,0.04,1.01,,0.02,0.02,0.95
0.05,0.03,1.02,,0.02,0.02,0.95
0.05,0,1,,0.02,0.02,0.95
0.04,0.01,1,,0.01,0.02,0.96
0.05,0.04,1.01,,0.02,0.02,0.95
0.06,0.03,1,,0.02,0.02,0.96
0.06,0.02,1.01,,0.02,0.01,0.95
0.05,0.03,1,,0.02,0.02,0.95
0.05,0.03,1.01,,0.02,0.02,0.96
0.04,0.03,1.01,,0.02,0.02,0.95
0.06,0.04,1,,0.02,0.02,0.95
0.05,0.04,1.01,,0.01,0.02,0.95
0.06,0.02,1.01,,0.01,0.02,0.96
0.05,0.01,0.99,,0.02,0.02,0.95
0.05,0.04,1.01,,0.01,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1.01,,0.02,0.01,0.96
0.06,0.04,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.06,0.02,1,,0.01,0.02,0.95
0.06,0.03,1.01,,0.02,0.02,0.95
0.05,0.03,1.01,,0.03,0.01,0.95
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.02,0.99,,0.02,0.02,0.95
0.04,0.02,1,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.96
0.06,0.03,1,,0.02,0.02,0.96
0.05,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.96
0.05,0.02,1,,0.02,0.02,0.95
0.05,0.02,1,,0.02,0.02,0.96
0.06,0.03,1.01,,0.02,0.02,0.95
0.04,0.02,1.01,,0.02,0.02,0.95
0.05,0.03,1,,0.02,0.02,0.95
